date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:12	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%22cccbe2b7dbc4d43e9118c95bbbd55fc2%22	https://connect.facebook.net/en_US/sdk.js	D:/Nodejs%202/DienTuPhuVuong/connect.facebook.net/en_US/sdk.js	(from https://suachuadientu-ht.blogspot.com/)
21:26:13	146516/146516	---M--	200	added ('OK')	text/javascript	date:Thu,%2006%20Feb%202025%2006:50:20%20GMT	https://www.blogger.com/static/v1/widgets/4126374771-widgets.js	D:/Nodejs%202/DienTuPhuVuong/www.blogger.com/static/v1/widgets/4126374771-widgets.js	(from https://suachuadientu-ht.blogspot.com/)
21:26:14	1/1	---MC-	200	added ('OK')	text/css	date:Mon,%2010%20Feb%202025%2014:25:56%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=5663228645341617382&zx=f9932b95-cdb1-49dd-84c1-a2e53c10f01e	D:/Nodejs%202/DienTuPhuVuong/www.blogger.com/dyn-css/authorizationa663.css	(from https://suachuadientu-ht.blogspot.com/p/gioi-thieu.html)
21:26:16	772790/772790	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/2023/09/sua-chua-laptop.html	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/2023/09/sua-chua-laptop.html	(from https://suachuadientu-ht.blogspot.com/search/label/D%e1%bb%8bch%20v%e1%bb%a5)
21:26:17	772957/772957	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/2023/09/sua-chua-may-anh.html	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/2023/09/sua-chua-may-anh.html	(from https://suachuadientu-ht.blogspot.com/search/label/D%e1%bb%8bch%20v%e1%bb%a5)
21:26:18	772936/772936	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/2023/09/sua-chua-dien-thoai.html	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/2023/09/sua-chua-dien-thoai.html	(from https://suachuadientu-ht.blogspot.com/search/label/D%e1%bb%8bch%20v%e1%bb%a5)
21:26:20	772760/772760	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/2023/09/sua-chua-khac.html	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/2023/09/sua-chua-khac.html	(from https://suachuadientu-ht.blogspot.com/search/label/D%e1%bb%8bch%20v%e1%bb%a5)
21:26:21	772737/772737	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/2023/09/sua-chua-iphone.html	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/2023/09/sua-chua-iphone.html	(from https://suachuadientu-ht.blogspot.com/search/label/D%e1%bb%8bch%20v%e1%bb%a5)
21:26:23	772826/772826	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/2023/09/sua-chua-desktop.html	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/2023/09/sua-chua-desktop.html	(from https://suachuadientu-ht.blogspot.com/search/label/D%e1%bb%8bch%20v%e1%bb%a5)
21:26:27	753954/753954	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/search/label/%c4%90i%e1%bb%87n%20tho%e1%ba%a1i?updated-max=2023-09-07T16:25:00-07:00&max-results=20&start=20&by-date=false	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/search/label/%c4%90i%e1%bb%87n%20tho%e1%ba%a1iefdb.html	(from https://suachuadientu-ht.blogspot.com/search/label/%c4%90i%e1%bb%87n%20tho%e1%ba%a1i)
21:26:29	771304/771304	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/2023/09/cac-trung-tam-day-nghe-sua-chua-ien.html	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/2023/09/cac-trung-tam-day-nghe-sua-chua-ien.html	(from https://suachuadientu-ht.blogspot.com/search/label/Tin%20t%e1%bb%a9c)
21:26:29	33006/33006	---M--	200	added ('OK')	image/jpeg	etag:%22v72c3%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjbcZ5ohPEvas5eVuDeYeF2V0_iMD7Fk83WnfIeTw0pjBpqu8nrys_hGVJ3gYvYus2qNi9auxmBDPIgLRifydnGdXpNytYwgSN-_XFhb_0hS06BXwmPvet-bGAwF529IlmakNLHqILnnPRjtjJmx49uEJ2aup2Y-pxbZ5YSuDir7gOOklASB83TRjJKKWij/w370-h230-p-k-no-nu/img_0027.jpg	D:/Nodejs%202/DienTuPhuVuong/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjbcZ5ohPEvas5eVuDeYeF2V0_iMD7Fk83WnfIeTw0/w370-h230-p-k-no-nu/img_0027.jpg	(from https://suachuadientu-ht.blogspot.com/search/label/Tin%20t%e1%bb%a9c)
21:26:31	771638/771638	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/2023/09/cong-cua-nguoi-tho-sua-ien-tu-thap-cung.html	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/2023/09/cong-cua-nguoi-tho-sua-ien-tu-thap-cung.html	(from https://suachuadientu-ht.blogspot.com/search/label/Tin%20t%e1%bb%a9c)
21:26:31	37556/37556	---M--	200	added ('OK')	image/jpeg	etag:%22v72c1%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjKLLr8Zxl5VBR88VRjrA9VwqayvNwOeYvyD2DZ0uyKJ20A_ekm8d8l-uU5AzeIhE07u58kPItSpDMUMiC8KzeSi8NARvXD0ERXAHNdO85OXjkFLPAOpS3vn7HEEI8RioyRUYKOkhKSiB8bJXXa345723I55PhJwCTPVVRGMSdfxEiO02KdWVWmdHvuuIl_/w370-h230-p-k-no-nu/DSC_3835.jpg	D:/Nodejs%202/DienTuPhuVuong/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjKLLr8Zxl5VBR88VRjrA9VwqayvNwOeYvyD2DZ0uy/w370-h230-p-k-no-nu/DSC_3835.jpg	(from https://suachuadientu-ht.blogspot.com/search/label/Tin%20t%e1%bb%a9c)
21:26:33	771851/771851	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/2023/09/kinh-nghiem-sua-chua-laptop-cua-tho-ma.html	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/2023/09/kinh-nghiem-sua-chua-laptop-cua-tho-ma.html	(from https://suachuadientu-ht.blogspot.com/search/label/Tin%20t%e1%bb%a9c)
21:26:33	34379/34379	---M--	200	added ('OK')	image/jpeg	etag:%22v72bf%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjjua7NlRzOZbureBsUs-9-XLRgO8PKV6YTdeHfXK-RQiGnlBCX5Qeds1G1gIuzvb62aRtX5pjTAsBGc_FY6sguMxm4X0eiGwiri9Q5EMe3VqS6IaqOKf_AGFNESsTpmM_dVrBjCc20OogmShmz-iOGwZsZ1gbENE1-9VZ7VvTYe6MDG4BpOgM79Kkc_hzO/w370-h230-p-k-no-nu/Dich-vu-sua-chua-dien-tu-e1643336941700.jpg	D:/Nodejs%202/DienTuPhuVuong/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjjua7NlRzOZbureBsUs-9-XLRgO8PKV6YTdeHfXK-/w370-h230-p-k-no-nu/Dich-vu-sua-chua-dien-tu-e1643336941700.jpg	(from https://suachuadientu-ht.blogspot.com/search/label/Tin%20t%e1%bb%a9c)
21:26:35	146622/146622	---M--	200	added ('OK')	text/javascript	date:Fri,%2007%20Feb%202025%2020:55:08%20GMT	https://www.blogger.com/static/v1/widgets/448373719-widgets.js	D:/Nodejs%202/DienTuPhuVuong/www.blogger.com/static/v1/widgets/448373719-widgets.js	(from https://suachuadientu-ht.blogspot.com/search/label/Tin%20t%e1%bb%a9c)
21:26:35	753707/753707	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:14:01%20GMT	https://suachuadientu-ht.blogspot.com/search/label/Tin%20t%e1%bb%a9c?updated-max=2023-09-07T22:20:00-07:00&max-results=20&start=20&by-date=false	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/search/label/Tin%20t%e1%bb%a9c09f9.html	(from https://suachuadientu-ht.blogspot.com/search/label/Tin%20t%e1%bb%a9c)
21:26:36	1/1	---MC-	200	added ('OK')	text/css	date:Mon,%2010%20Feb%202025%2014:26:18%20GMT	https://draft.blogger.com/dyn-css/authorization.css?targetBlogID=5663228645341617382&zx=f9932b95-cdb1-49dd-84c1-a2e53c10f01e	D:/Nodejs%202/DienTuPhuVuong/draft.blogger.com/dyn-css/authorizationa663.css	(from https://suachuadientu-ht.blogspot.com/p/lien-he.html)
21:26:37	2577/2577	---M-Z	200	added ('OK')	image/png	etag:%225eb03cf0-a11%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	D:/Nodejs%202/DienTuPhuVuong/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	(from https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css)
21:26:38	1323/1323	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://suachuadientu-ht.blogspot.com/feeds/6122762369130723200/comments/default	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/feeds/6122762369130723200/comments/default	(from https://suachuadientu-ht.blogspot.com/2023/09/sua-chua-laptop.html)
21:26:39	43763/43763	---M--	200	added ('OK')	image/png	etag:%22v2ffa%22	https://4.bp.blogspot.com/-00O66C-eBQs/W0IcokXSnOI/AAAAAAAAL_k/g4KtDm7SkQsoe7_G0vZ_C_nU0Gf_-kyVQCLcBGAs/w600-h400-p-k-no-nu/safe_image.png	D:/Nodejs%202/DienTuPhuVuong/4.bp.blogspot.com/-00O66C-eBQs/W0IcokXSnOI/AAAAAAAAL_k/g4KtDm7SkQsoe7_G0vZ_C_nU0Gf_-kyVQCLcBGAs/w600-h400-p-k-no-nu/safe_image.png	(from https://suachuadientu-ht.blogspot.com/2023/09/sua-chua-laptop.html)
21:26:40	1322/1322	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://suachuadientu-ht.blogspot.com/feeds/301376301529477294/comments/default	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/feeds/301376301529477294/comments/default	(from https://suachuadientu-ht.blogspot.com/2023/09/sua-chua-may-anh.html)
21:26:42	1323/1323	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://suachuadientu-ht.blogspot.com/feeds/2179825555395461197/comments/default	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/feeds/2179825555395461197/comments/default	(from https://suachuadientu-ht.blogspot.com/2023/09/sua-chua-dien-thoai.html)
21:26:44	1323/1323	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://suachuadientu-ht.blogspot.com/feeds/2111271345307376197/comments/default	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/feeds/2111271345307376197/comments/default	(from https://suachuadientu-ht.blogspot.com/2023/09/sua-chua-khac.html)
21:26:46	1323/1323	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://suachuadientu-ht.blogspot.com/feeds/1558539770311320484/comments/default	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/feeds/1558539770311320484/comments/default	(from https://suachuadientu-ht.blogspot.com/2023/09/sua-chua-iphone.html)
21:26:48	1323/1323	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://suachuadientu-ht.blogspot.com/feeds/1684563188317096957/comments/default	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/feeds/1684563188317096957/comments/default	(from https://suachuadientu-ht.blogspot.com/2023/09/sua-chua-desktop.html)
21:26:50	1323/1323	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://suachuadientu-ht.blogspot.com/feeds/6005381395376620783/comments/default	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/feeds/6005381395376620783/comments/default	(from https://suachuadientu-ht.blogspot.com/2023/09/cac-trung-tam-day-nghe-sua-chua-ien.html)
21:26:52	101708/101708	---M--	200	added ('OK')	image/jpeg	etag:%22v72c3%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjbcZ5ohPEvas5eVuDeYeF2V0_iMD7Fk83WnfIeTw0pjBpqu8nrys_hGVJ3gYvYus2qNi9auxmBDPIgLRifydnGdXpNytYwgSN-_XFhb_0hS06BXwmPvet-bGAwF529IlmakNLHqILnnPRjtjJmx49uEJ2aup2Y-pxbZ5YSuDir7gOOklASB83TRjJKKWij/s1000/img_0027.jpg	D:/Nodejs%202/DienTuPhuVuong/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjbcZ5ohPEvas5eVuDeYeF2V0_iMD7Fk83WnfIeTw0/s1000/img_0027.jpg	(from https://suachuadientu-ht.blogspot.com/2023/09/cac-trung-tam-day-nghe-sua-chua-ien.html)
21:26:53	1322/1322	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://suachuadientu-ht.blogspot.com/feeds/100282799816730354/comments/default	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/feeds/100282799816730354/comments/default	(from https://suachuadientu-ht.blogspot.com/2023/09/cong-cua-nguoi-tho-sua-ien-tu-thap-cung.html)
21:26:54	192295/192295	---M--	200	added ('OK')	image/jpeg	etag:%22v72c1%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjKLLr8Zxl5VBR88VRjrA9VwqayvNwOeYvyD2DZ0uyKJ20A_ekm8d8l-uU5AzeIhE07u58kPItSpDMUMiC8KzeSi8NARvXD0ERXAHNdO85OXjkFLPAOpS3vn7HEEI8RioyRUYKOkhKSiB8bJXXa345723I55PhJwCTPVVRGMSdfxEiO02KdWVWmdHvuuIl_/s16000/DSC_3835.jpg	D:/Nodejs%202/DienTuPhuVuong/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjKLLr8Zxl5VBR88VRjrA9VwqayvNwOeYvyD2DZ0uy/s16000/DSC_3835.jpg	(from https://suachuadientu-ht.blogspot.com/2023/09/cong-cua-nguoi-tho-sua-ien-tu-thap-cung.html)
21:26:55	192295/192295	---M--	200	added ('OK')	image/jpeg	etag:%22v72c1%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjKLLr8Zxl5VBR88VRjrA9VwqayvNwOeYvyD2DZ0uyKJ20A_ekm8d8l-uU5AzeIhE07u58kPItSpDMUMiC8KzeSi8NARvXD0ERXAHNdO85OXjkFLPAOpS3vn7HEEI8RioyRUYKOkhKSiB8bJXXa345723I55PhJwCTPVVRGMSdfxEiO02KdWVWmdHvuuIl_/s1600/DSC_3835.jpg	D:/Nodejs%202/DienTuPhuVuong/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjKLLr8Zxl5VBR88VRjrA9VwqayvNwOeYvyD2DZ0uy/s1600/DSC_3835.jpg	(from https://suachuadientu-ht.blogspot.com/2023/09/cong-cua-nguoi-tho-sua-ien-tu-thap-cung.html)
21:26:57	1323/1323	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://suachuadientu-ht.blogspot.com/feeds/3414019468001392249/comments/default	D:/Nodejs%202/DienTuPhuVuong/suachuadientu-ht.blogspot.com/feeds/3414019468001392249/comments/default	(from https://suachuadientu-ht.blogspot.com/2023/09/kinh-nghiem-sua-chua-laptop-cua-tho-ma.html)
21:26:58	88119/88119	---M--	200	added ('OK')	image/jpeg	etag:%22v72bf%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjjua7NlRzOZbureBsUs-9-XLRgO8PKV6YTdeHfXK-RQiGnlBCX5Qeds1G1gIuzvb62aRtX5pjTAsBGc_FY6sguMxm4X0eiGwiri9Q5EMe3VqS6IaqOKf_AGFNESsTpmM_dVrBjCc20OogmShmz-iOGwZsZ1gbENE1-9VZ7VvTYe6MDG4BpOgM79Kkc_hzO/s16000/Dich-vu-sua-chua-dien-tu-e1643336941700.jpg	D:/Nodejs%202/DienTuPhuVuong/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjjua7NlRzOZbureBsUs-9-XLRgO8PKV6YTdeHfXK-/s16000/Dich-vu-sua-chua-dien-tu-e1643336941700.jpg	(from https://suachuadientu-ht.blogspot.com/2023/09/kinh-nghiem-sua-chua-laptop-cua-tho-ma.html)
21:27:00	88119/88119	---M--	200	added ('OK')	image/jpeg	etag:%22v72bf%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjjua7NlRzOZbureBsUs-9-XLRgO8PKV6YTdeHfXK-RQiGnlBCX5Qeds1G1gIuzvb62aRtX5pjTAsBGc_FY6sguMxm4X0eiGwiri9Q5EMe3VqS6IaqOKf_AGFNESsTpmM_dVrBjCc20OogmShmz-iOGwZsZ1gbENE1-9VZ7VvTYe6MDG4BpOgM79Kkc_hzO/s900/Dich-vu-sua-chua-dien-tu-e1643336941700.jpg	D:/Nodejs%202/DienTuPhuVuong/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjjua7NlRzOZbureBsUs-9-XLRgO8PKV6YTdeHfXK-/s900/Dich-vu-sua-chua-dien-tu-e1643336941700.jpg	(from https://suachuadientu-ht.blogspot.com/2023/09/kinh-nghiem-sua-chua-laptop-cua-tho-ma.html)
